campaign_id,channel_social_media,channel_tv,channel_radio,channel_print,channel_email,channel_community,age_group,income_bracket,education,geographic_region,vaccination_completed,health_screening,behavior_change,cost_per_contact,campaign_year,conversion
44,1,1,1,0,0,1,45-54,<25k,Some College,Midwest,0,0,1,13.317909579199815,2023,0
45,0,0,0,0,1,0,55-64,75-100k,Bachelors,Northeast,0,0,0,7.127475138783334,2023,0
46,1,0,0,0,1,0,25-34,<25k,Some College,Midwest,1,0,0,3.5595014389078674,2024,0
47,0,0,0,0,1,1,18-24,<25k,Some College,Midwest,0,0,0,8.433044878609703,2023,0
48,0,0,0,0,0,1,18-24,50-75k,Some College,Northeast,0,0,1,14.505962084343354,2024,0
49,0,1,0,0,0,0,45-54,>100k,Graduate,South,0,0,0,4.184837003144452,2023,0
50,0,1,0,0,1,1,25-34,50-75k,High School,Northeast,0,0,1,11.070361295344824,2023,1
51,1,0,0,0,1,1,45-54,>100k,Some College,Midwest,0,0,0,4.201466370761868,2023,0
52,1,1,0,0,1,1,65+,25-50k,Graduate,South,0,0,1,4.972350738650518,2024,0
53,1,0,0,0,1,0,55-64,>100k,Graduate,South,1,0,0,9.08713697575217,2023,1
54,1,1,1,0,0,0,35-44,75-100k,Bachelors,Northeast,0,0,1,2.6261762229782066,2024,1
55,1,0,0,0,1,0,45-54,50-75k,Bachelors,West,0,0,0,2.643212228047614,2023,1
56,1,1,1,1,1,1,45-54,25-50k,Graduate,Northeast,0,0,0,14.212234341401977,2024,1
57,0,0,0,0,1,1,65+,50-75k,Bachelors,Midwest,0,0,1,2.5426430628426027,2024,0
58,0,0,0,0,0,0,55-64,25-50k,High School,Midwest,0,1,0,14.257017987671796,2024,0
59,0,0,0,1,0,0,65+,<25k,High School,Midwest,0,0,0,8.83458449354173,2023,0
60,0,0,0,0,0,0,65+,50-75k,Some College,Northeast,0,0,0,3.843393384219853,2024,0
61,0,0,1,0,0,0,35-44,75-100k,Graduate,Northeast,0,0,0,8.90097877647575,2024,0
62,0,0,0,0,0,0,18-24,75-100k,High School,Northeast,0,0,0,14.256296894332788,2023,0
63,1,1,0,0,0,0,65+,75-100k,High School,West,0,0,1,8.051690857500983,2024,0
64,0,0,0,0,0,0,25-34,75-100k,Some College,West,0,1,0,4.1682588661658935,2023,0
65,0,1,1,0,1,0,65+,50-75k,High School,West,0,1,0,10.611963742351879,2024,1
66,0,0,0,0,0,1,55-64,>100k,Some College,West,0,1,0,9.912163895400138,2024,1
67,0,1,0,0,0,1,18-24,>100k,Graduate,Northeast,0,0,0,3.49158343484656,2024,0
68,1,1,0,0,0,0,25-34,>100k,Bachelors,Northeast,0,0,1,7.816220256197797,2023,1
69,0,0,1,1,1,0,65+,75-100k,High School,Northeast,1,1,0,13.509516785096404,2023,0
70,1,1,0,0,0,0,35-44,75-100k,High School,West,0,0,0,4.618499136257446,2023,1
71,1,1,0,0,0,0,55-64,25-50k,Graduate,Northeast,0,1,1,5.584591440315568,2023,1
72,0,0,1,0,1,1,25-34,<25k,High School,Midwest,0,0,0,11.269275046328186,2023,0
73,0,1,0,0,1,0,45-54,50-75k,High School,South,0,0,0,6.541028197726821,2023,0
74,1,0,0,0,1,0,35-44,>100k,Some College,South,0,1,0,5.62868427596511,2023,0
75,1,0,0,0,1,0,45-54,>100k,Bachelors,Northeast,0,0,0,14.984120922433164,2023,0
76,1,0,0,1,1,0,18-24,50-75k,Bachelors,Northeast,0,0,0,7.4713856475095675,2024,0
77,1,0,0,0,1,0,35-44,<25k,Some College,South,1,0,0,13.830715606269006,2024,1
78,0,0,0,0,0,1,65+,>100k,Bachelors,Northeast,0,0,1,9.804830522680499,2023,0
79,0,1,0,1,0,1,35-44,75-100k,High School,Midwest,0,0,0,12.060238260379778,2023,0
80,0,1,0,1,0,0,45-54,25-50k,Some College,Northeast,0,0,0,10.891115605423414,2023,0
81,1,1,0,0,1,0,65+,50-75k,Bachelors,South,0,0,0,3.1422058944653157,2023,0
82,1,0,1,0,1,0,55-64,>100k,Bachelors,South,1,0,0,13.614690676573549,2024,1
83,0,1,0,0,1,0,25-34,25-50k,Bachelors,Northeast,0,0,0,11.506671263017484,2023,0
84,0,0,0,1,1,0,65+,<25k,Some College,South,0,0,1,13.793044695471009,2024,0
85,0,1,0,1,1,1,55-64,75-100k,Graduate,Midwest,1,0,0,12.741592115567695,2024,0
86,0,0,1,1,1,0,45-54,50-75k,Graduate,Midwest,0,0,1,9.323415131504527,2023,1
87,1,1,0,0,1,0,35-44,<25k,Bachelors,Northeast,1,0,0,12.391278371175783,2023,0
88,1,1,0,1,0,0,25-34,75-100k,Graduate,Midwest,0,0,0,14.936152787422722,2024,0
89,1,1,1,1,0,0,18-24,75-100k,High School,Northeast,0,0,0,6.471252220379233,2023,1
90,0,1,0,0,1,1,65+,75-100k,High School,Midwest,0,0,0,13.584301191147276,2023,0
91,0,1,0,0,0,0,45-54,75-100k,High School,West,0,0,0,12.664719363580314,2024,0
92,1,0,1,0,1,0,65+,25-50k,Some College,Northeast,0,0,0,6.103120675398233,2023,1
93,1,1,0,0,0,0,55-64,50-75k,Bachelors,West,0,0,1,7.017448599648343,2024,0
94,1,1,0,0,0,1,45-54,>100k,Bachelors,Midwest,0,0,0,12.821967462698728,2023,0
95,1,0,0,0,1,1,65+,50-75k,Graduate,West,0,0,0,11.577413390326717,2023,1
96,0,0,0,0,1,0,25-34,75-100k,Graduate,Midwest,0,0,0,4.868697680841791,2023,0
97,0,0,0,0,1,0,55-64,>100k,Graduate,West,0,1,1,9.169626696326302,2023,1
98,0,1,1,0,1,0,25-34,<25k,Graduate,Northeast,0,0,0,4.381343457919327,2023,0
99,0,0,0,0,1,0,35-44,<25k,Some College,Midwest,0,0,0,8.168693085173274,2023,1
100,0,1,0,0,1,0,65+,>100k,Bachelors,West,0,0,1,9.027777785059389,2023,0
101,0,0,1,1,1,0,18-24,50-75k,Bachelors,Northeast,0,0,1,12.122063164187699,2024,1
102,1,0,0,1,0,0,25-34,75-100k,High School,Midwest,0,0,0,9.659671548908948,2024,0
103,0,1,1,0,1,0,55-64,75-100k,Some College,South,0,0,0,9.073340813570251,2023,0
104,0,0,0,0,0,0,65+,50-75k,High School,South,0,1,0,10.254661088407351,2024,0
105,1,0,1,0,1,1,45-54,<25k,Some College,South,0,0,0,10.283107743741233,2024,0
106,0,1,1,0,0,0,18-24,50-75k,Bachelors,Northeast,0,0,0,8.002878613987766,2023,0
107,0,0,0,1,1,0,45-54,75-100k,Some College,West,0,0,0,8.744873276793092,2023,0
108,1,0,0,0,1,1,55-64,25-50k,Bachelors,West,0,0,0,11.617807285186874,2024,1
109,0,1,1,1,0,0,35-44,<25k,Bachelors,South,0,0,0,8.905671915678845,2023,0
110,0,1,1,0,1,0,65+,75-100k,Some College,Midwest,0,0,0,6.49419559394915,2024,0
111,0,0,0,0,0,0,55-64,>100k,Graduate,West,0,0,0,11.505364072414942,2024,0
112,0,0,0,0,0,0,45-54,>100k,Graduate,Northeast,0,0,0,12.887967917372547,2024,0
113,1,0,0,1,0,0,18-24,25-50k,High School,West,0,0,0,3.6436201627348472,2024,1
114,1,0,1,0,0,0,45-54,<25k,Graduate,South,1,0,0,7.754419168299974,2024,0
115,1,0,0,0,0,1,18-24,<25k,Some College,Northeast,0,0,0,14.223032915326328,2023,0
116,1,0,1,0,1,0,45-54,>100k,Bachelors,West,0,1,1,12.578080153020595,2023,0
117,1,0,0,0,1,0,45-54,75-100k,Some College,Northeast,0,0,0,11.011124330073043,2024,0
118,0,1,0,0,1,0,35-44,>100k,Bachelors,South,0,0,0,10.133835571741454,2023,0
119,1,0,1,1,0,1,65+,75-100k,Some College,West,0,0,0,3.7781449604236106,2023,0
120,0,0,0,0,1,0,45-54,75-100k,Graduate,Midwest,0,0,0,7.620034279543129,2023,0
121,1,1,0,0,0,0,25-34,25-50k,Some College,Northeast,0,0,0,7.262408317403427,2023,0
122,1,0,1,0,0,0,25-34,<25k,High School,Midwest,0,0,0,3.667995360514391,2023,0
123,0,1,0,0,0,1,45-54,>100k,Bachelors,Midwest,0,1,0,6.226223768910729,2023,0
124,0,0,0,1,1,0,65+,25-50k,High School,West,0,0,0,3.8755733885277817,2024,0
125,0,0,0,0,0,0,55-64,25-50k,Graduate,Northeast,0,0,0,13.119464989775587,2023,0
126,0,0,0,0,0,0,35-44,50-75k,Graduate,Northeast,0,0,1,7.3079582815931765,2023,0
127,1,0,0,1,1,0,55-64,75-100k,Some College,South,0,0,1,11.323412280580476,2024,1
128,1,1,0,1,1,1,35-44,25-50k,Some College,Northeast,0,0,0,11.437906422464838,2023,1
129,0,1,0,0,0,0,65+,<25k,Graduate,Midwest,0,0,0,10.92457458430059,2024,0
130,0,0,1,1,1,0,25-34,<25k,Bachelors,Northeast,0,0,1,3.3670586853989404,2023,0
131,0,0,1,0,1,0,55-64,25-50k,High School,South,1,0,0,2.9270201725849367,2024,0
132,0,0,0,0,1,0,55-64,<25k,Graduate,West,0,0,0,7.270519705351689,2024,0
133,0,1,0,0,0,1,18-24,50-75k,Bachelors,South,0,0,1,2.9887532898048716,2023,1
134,0,0,0,0,1,1,18-24,<25k,Bachelors,Midwest,0,0,1,7.242139005303778,2023,0
135,1,0,1,1,1,1,18-24,50-75k,Bachelors,Northeast,0,0,0,9.883496798623153,2023,0
136,0,0,0,0,0,1,65+,50-75k,High School,Midwest,0,0,0,13.627100834519226,2023,0
137,0,0,0,0,1,1,65+,75-100k,Bachelors,West,0,0,0,8.340187028261047,2024,0
138,1,0,1,0,1,0,25-34,>100k,Graduate,West,0,0,0,11.142473316138874,2023,1
139,0,1,1,0,0,0,25-34,<25k,Graduate,Midwest,0,0,0,13.661893903998688,2023,0
140,1,1,0,1,0,1,65+,25-50k,Some College,West,1,0,0,10.231651755433589,2024,0
141,1,1,0,0,1,0,65+,<25k,Bachelors,West,0,0,0,10.88129158363711,2023,0
142,0,0,0,0,1,1,55-64,75-100k,Some College,West,0,0,1,12.588769737677074,2024,0
143,0,0,1,0,0,0,55-64,75-100k,High School,Midwest,0,0,1,10.986069151627348,2024,0
144,0,0,0,0,0,0,55-64,25-50k,Some College,West,0,0,0,9.362664683083114,2023,0
145,0,0,1,0,1,1,65+,<25k,Bachelors,Northeast,0,0,0,3.250556699096884,2024,1
146,0,0,1,0,1,1,18-24,25-50k,Graduate,Northeast,0,1,1,8.249276304563022,2024,0
147,1,0,0,0,1,0,35-44,25-50k,High School,Midwest,0,0,1,11.296065343571279,2024,0
148,0,0,0,0,0,0,55-64,25-50k,Graduate,Midwest,0,0,0,7.654631061662178,2023,0
149,0,0,0,0,1,0,35-44,>100k,Graduate,South,0,0,0,4.135159338396454,2024,0
150,0,0,0,0,0,1,65+,>100k,Graduate,West,1,0,0,3.896525753988566,2023,0
151,1,0,0,0,0,0,18-24,75-100k,Bachelors,West,0,0,1,11.525175506402432,2024,0
152,0,0,0,0,0,0,18-24,25-50k,Bachelors,Midwest,0,0,0,3.2426508809767944,2024,0
153,0,0,0,1,0,0,25-34,<25k,Bachelors,South,0,1,0,7.14736620714324,2024,0
154,0,0,0,0,0,1,55-64,<25k,Some College,Northeast,0,1,0,9.042717574450837,2023,0
155,1,0,0,0,1,0,35-44,<25k,High School,Northeast,0,0,0,4.259488874584246,2023,0
156,0,0,0,1,1,0,35-44,25-50k,Some College,West,0,0,1,5.193649049181831,2024,0
157,1,0,1,0,0,0,35-44,<25k,High School,Midwest,0,0,0,2.9304466640651343,2023,0
158,1,1,1,0,0,0,18-24,75-100k,High School,South,1,0,0,3.3537227443133064,2024,0
159,0,0,0,0,0,0,35-44,>100k,High School,Midwest,0,0,0,11.660361138674206,2024,0
160,1,0,0,0,0,1,35-44,50-75k,Some College,South,0,0,0,4.615905108003357,2023,0
161,0,1,1,0,0,0,55-64,50-75k,Graduate,South,0,0,1,11.106954625345205,2024,1
162,1,0,0,0,0,0,55-64,>100k,Graduate,West,0,1,1,2.5642724861090254,2023,0
163,1,0,0,0,0,0,35-44,<25k,Bachelors,Northeast,0,1,0,8.571236899159521,2023,0
164,0,0,0,0,0,1,25-34,>100k,Bachelors,West,0,0,1,12.247116245427554,2023,0
165,0,1,0,0,1,1,35-44,<25k,Graduate,Midwest,0,0,0,9.753314513910267,2024,0
166,1,1,0,0,0,0,18-24,>100k,High School,Northeast,0,1,0,8.356215654612042,2023,1
167,0,1,0,0,1,0,65+,>100k,Bachelors,Northeast,1,0,1,6.263721664106848,2024,0
168,0,1,0,0,1,0,65+,25-50k,Graduate,West,0,0,0,11.0755108386453,2023,0
169,0,0,0,0,1,0,65+,>100k,High School,Northeast,0,0,1,12.280847430320604,2023,0
170,1,1,1,0,0,0,55-64,25-50k,Bachelors,South,0,0,0,7.763737065682827,2023,0
171,1,0,0,0,1,0,18-24,<25k,High School,West,0,0,0,8.06095787003926,2023,1
172,0,0,1,0,0,1,25-34,>100k,High School,Midwest,0,0,0,14.000174938088307,2023,0
173,0,0,0,1,1,1,18-24,25-50k,Graduate,South,0,0,1,6.458891990328565,2023,0
174,0,0,1,1,1,0,55-64,<25k,Bachelors,Northeast,0,0,1,9.391048337022397,2023,0
175,1,0,0,0,1,1,18-24,75-100k,Graduate,Midwest,0,1,0,9.501091456156834,2023,1
176,0,0,0,1,1,0,35-44,50-75k,Bachelors,West,0,0,0,13.072740000613793,2023,0
177,1,1,0,0,0,0,65+,25-50k,Bachelors,Midwest,0,0,1,12.628633773222507,2023,1
178,0,0,0,0,1,1,55-64,50-75k,High School,West,0,0,0,7.493820474915514,2024,0
179,1,1,0,1,1,0,65+,75-100k,Some College,Northeast,0,1,0,8.274937656399736,2024,0
180,0,0,0,0,1,0,55-64,75-100k,Bachelors,West,0,0,1,14.96821341726721,2023,0
181,0,0,0,0,0,0,25-34,25-50k,High School,Midwest,0,0,1,5.461130444891492,2024,0
182,0,0,1,0,1,0,25-34,50-75k,Bachelors,South,1,0,0,2.9499160454861997,2024,0
183,1,1,1,0,0,0,65+,50-75k,High School,South,0,0,1,7.336800172379403,2023,0
184,1,0,0,0,0,1,65+,>100k,High School,Midwest,0,0,1,5.564550928856182,2024,0
185,0,0,0,0,0,1,55-64,75-100k,Graduate,Northeast,0,0,0,6.8305569904866035,2023,0
186,1,1,0,0,1,1,18-24,75-100k,Some College,South,0,0,0,9.39660419794587,2023,1
187,1,1,0,0,1,0,45-54,25-50k,High School,Midwest,0,0,1,12.284797371814662,2023,0
188,1,0,0,0,0,1,45-54,>100k,Bachelors,Northeast,0,0,0,6.709989385658062,2023,0
189,0,0,1,0,0,1,65+,25-50k,Bachelors,West,0,0,0,4.059508247567608,2023,0
190,0,0,1,0,0,0,35-44,50-75k,High School,Midwest,0,0,1,7.779766258882934,2023,0
191,0,0,1,0,0,0,55-64,25-50k,High School,South,0,1,0,7.812052874337791,2024,0
192,1,1,1,1,0,1,35-44,>100k,High School,Northeast,0,1,0,7.779717583387806,2024,0
193,1,0,0,1,0,1,18-24,>100k,Some College,West,0,0,1,5.846782668032336,2024,0
194,1,0,0,0,0,1,25-34,>100k,Some College,Northeast,0,0,0,6.07748574367843,2023,0
195,0,1,0,0,0,1,18-24,<25k,Some College,Midwest,0,0,0,11.927012137145677,2023,0
196,0,0,1,0,1,0,35-44,75-100k,High School,Midwest,0,0,0,7.384138180693134,2024,0
197,1,0,1,0,0,1,55-64,50-75k,High School,West,0,1,0,2.703460908401075,2024,0
198,1,0,0,0,0,0,55-64,50-75k,Bachelors,Midwest,0,0,0,3.9642381305969066,2023,0
199,1,1,1,0,1,0,65+,<25k,Graduate,West,0,1,1,8.33828660659103,2024,1
200,1,0,1,0,1,1,45-54,<25k,Bachelors,Northeast,0,0,1,10.689659613345306,2023,1
201,1,0,0,0,1,1,65+,25-50k,Some College,Northeast,1,0,0,6.759644276628635,2023,1
202,0,0,0,0,1,0,35-44,<25k,Some College,South,0,0,0,6.54808605554349,2024,0
203,0,0,1,0,0,0,45-54,25-50k,High School,South,0,0,0,10.795108737126471,2023,1
204,1,0,1,1,0,1,65+,25-50k,Bachelors,West,0,0,0,12.2961324887234,2023,0
205,1,0,0,0,0,0,65+,<25k,Graduate,Northeast,1,0,0,4.335051546644416,2023,0
206,0,0,1,1,0,0,45-54,<25k,Graduate,West,0,0,1,5.069337449443935,2024,0
207,0,1,0,0,0,1,65+,75-100k,Graduate,West,1,0,1,5.8327228274363,2024,1
208,1,0,0,0,0,1,55-64,>100k,High School,Northeast,0,0,1,5.172112203812107,2024,1
209,0,1,0,0,0,0,45-54,25-50k,Bachelors,South,0,0,0,10.136760442858874,2023,0
210,0,0,0,1,0,1,65+,25-50k,High School,South,0,0,1,3.946408817316396,2024,0
211,0,1,1,0,0,0,25-34,25-50k,Some College,Northeast,1,0,0,9.14711007489635,2024,0
212,1,0,0,0,0,0,65+,<25k,High School,Northeast,0,0,0,4.450286978001815,2023,0
213,1,0,0,0,1,0,25-34,>100k,Graduate,Northeast,0,1,1,13.407622571720948,2023,0
214,0,1,0,0,1,1,25-34,>100k,Graduate,West,0,0,1,11.341434940095203,2023,1
215,1,1,0,1,1,0,55-64,25-50k,Some College,West,0,0,0,10.580696215859472,2024,0
216,0,0,1,0,0,1,18-24,75-100k,Graduate,West,0,1,0,4.437204809088108,2024,0
217,0,0,0,0,1,0,65+,<25k,High School,Northeast,0,1,0,13.746478402481348,2023,0
218,1,1,0,1,1,0,25-34,25-50k,Bachelors,West,0,1,0,8.278184247139572,2024,1
219,1,0,0,1,0,1,35-44,<25k,High School,Midwest,0,0,0,10.68511984830239,2024,0
220,1,1,0,1,0,0,45-54,<25k,High School,Midwest,1,0,0,4.244367252067979,2024,0
221,1,1,1,0,0,0,25-34,25-50k,Bachelors,West,0,0,0,14.805490483272086,2024,0
222,1,0,1,0,0,0,35-44,75-100k,Bachelors,Midwest,0,0,0,11.099831840314987,2024,0
223,0,1,0,0,0,0,45-54,25-50k,Graduate,Midwest,0,0,0,7.274511393620232,2023,0
224,0,0,0,0,1,1,65+,<25k,Graduate,West,0,0,0,13.95722397698182,2023,0
225,0,1,0,0,0,0,18-24,75-100k,High School,South,0,0,0,4.806327849072074,2023,0
226,0,0,1,1,0,1,35-44,>100k,Some College,Midwest,1,0,0,14.796261958771764,2024,0
227,1,0,0,0,0,0,35-44,75-100k,High School,West,0,0,1,4.308151947488147,2024,0
228,0,1,0,0,0,0,65+,75-100k,Graduate,Midwest,0,0,1,8.030772445171127,2024,0
229,1,0,0,0,1,1,35-44,50-75k,High School,South,0,0,0,7.222073308260264,2023,1
230,1,1,1,0,1,0,55-64,25-50k,Bachelors,South,0,0,0,6.839901673990387,2023,1
231,1,0,0,0,0,0,35-44,25-50k,Some College,West,0,1,0,6.076251872893192,2024,0
232,0,0,0,1,1,0,65+,50-75k,Some College,South,0,0,0,3.222918770681842,2024,1
233,1,0,0,1,1,0,45-54,<25k,Bachelors,Northeast,0,0,0,4.400619591334318,2023,1
234,0,1,0,0,0,0,25-34,50-75k,Some College,Northeast,0,0,0,2.6215861508374063,2024,0
235,0,0,1,1,0,0,45-54,<25k,High School,West,0,1,0,11.724325766071344,2023,0
236,1,1,0,1,0,1,18-24,>100k,Some College,Midwest,0,1,1,14.286146166507223,2023,0
237,0,0,1,1,0,0,35-44,75-100k,Bachelors,Northeast,0,0,1,14.99636055366502,2024,0
238,0,0,1,1,0,0,25-34,50-75k,High School,Midwest,0,1,0,3.2375584606394288,2023,0
239,1,1,1,0,1,0,55-64,50-75k,Bachelors,Midwest,0,0,0,6.6551965575762155,2024,0
240,0,0,1,0,1,0,45-54,75-100k,Bachelors,Midwest,0,0,0,3.0096088607647724,2024,0
241,1,0,1,1,0,0,65+,<25k,High School,South,0,0,0,9.25670310273894,2024,0
242,1,1,0,0,0,0,55-64,<25k,Graduate,West,0,0,1,14.569420086866486,2023,0
243,1,0,1,1,0,1,55-64,>100k,Some College,South,0,1,0,4.719279509440685,2023,1
244,0,1,0,0,0,1,65+,50-75k,Graduate,South,0,0,1,4.475717966216695,2024,0
245,0,1,0,0,0,0,25-34,75-100k,High School,West,0,0,0,4.341143021684361,2023,0
246,1,0,0,0,0,1,35-44,>100k,Graduate,Northeast,0,1,0,5.723044658737366,2024,0
247,0,1,1,1,0,0,25-34,75-100k,Some College,Midwest,0,0,0,6.664484433850185,2023,0
248,1,0,1,0,0,1,45-54,50-75k,Bachelors,Northeast,0,0,1,7.224241738068864,2023,0
249,1,1,0,0,1,0,55-64,25-50k,High School,Northeast,0,0,0,2.853007857743319,2024,1
250,1,0,0,0,0,0,25-34,<25k,High School,Midwest,0,0,0,5.812776191294538,2023,0
251,0,1,0,1,0,1,55-64,50-75k,Some College,Midwest,0,0,0,9.82681957982516,2023,0
252,0,1,0,1,1,0,55-64,25-50k,High School,Northeast,0,0,0,9.277342078409129,2024,0
253,1,0,0,0,0,1,45-54,50-75k,High School,Northeast,0,0,0,14.312606312760249,2024,0
254,0,0,0,0,1,0,45-54,50-75k,High School,Midwest,0,0,0,6.192502391274302,2024,0
255,0,0,0,0,0,1,45-54,50-75k,Some College,West,0,0,0,5.233315073116911,2024,0
256,1,1,0,0,0,0,18-24,75-100k,High School,Northeast,0,0,1,10.874828453084763,2023,0
257,1,1,0,0,0,0,18-24,50-75k,Graduate,Midwest,0,0,0,11.426157813354612,2024,0
258,1,0,0,0,1,1,45-54,25-50k,High School,Northeast,0,0,0,14.364232286427438,2023,0
259,1,1,1,0,0,0,35-44,>100k,Some College,Midwest,0,1,1,12.364337790620196,2024,0
260,0,0,1,0,0,1,65+,>100k,Graduate,South,0,0,0,11.95661907387174,2023,0
261,1,0,0,0,1,1,18-24,50-75k,Bachelors,Midwest,0,0,0,7.338579973281928,2023,0
262,1,0,0,1,0,0,35-44,50-75k,High School,West,0,0,0,3.1102391304901076,2024,0
263,0,0,1,0,0,0,65+,<25k,Some College,West,0,0,0,12.951155882138176,2023,0
264,0,0,0,1,0,0,35-44,<25k,Bachelors,Midwest,0,1,0,8.493371912857256,2023,0
265,1,1,0,0,0,0,65+,50-75k,High School,South,0,0,1,9.24600984370619,2024,0
266,1,0,0,1,0,0,25-34,>100k,Some College,Midwest,1,1,0,12.037912745206931,2023,0
267,1,0,0,1,1,1,65+,50-75k,Graduate,South,0,0,1,8.700537859802505,2023,0
268,1,0,0,1,1,1,18-24,50-75k,Graduate,Northeast,0,0,0,13.64961013962791,2024,1
269,0,1,0,1,0,0,35-44,50-75k,Bachelors,West,0,0,0,13.44365833011289,2024,0
270,0,1,1,0,0,0,35-44,25-50k,High School,Midwest,1,0,0,2.7354141661325917,2024,0
271,1,0,0,0,0,1,55-64,>100k,Graduate,West,0,0,0,11.051908870335359,2024,0
272,1,1,0,0,0,0,25-34,50-75k,Bachelors,Midwest,0,0,0,3.9941368783610063,2023,0
273,1,0,0,1,0,0,55-64,50-75k,Graduate,South,0,0,0,11.752000168801793,2024,0
274,1,0,0,0,1,0,65+,25-50k,Graduate,Northeast,0,0,0,6.152577303358909,2024,0
275,0,1,0,1,0,1,45-54,<25k,Bachelors,Northeast,0,0,0,10.908503962092546,2023,0
276,0,0,0,0,0,0,45-54,>100k,Graduate,West,1,0,0,6.01209266234903,2024,0
277,1,1,0,0,0,0,18-24,50-75k,Graduate,Midwest,0,0,0,2.92343073013328,2023,0
